Time (ms),-200 pA,-175 pA,-150 pA,-125 pA,-100 pA,-75 pA,-50 pA,-25 pA,0 pA,25 pA,50 pA,75 pA,100 pA,125 pA,150 pA,175 pA,200 pA,225 pA
8.392,-83.105,-82.892,-83.185,-83.221,-83.298,-83.237,-83.395,-83.276,-83.279,-83.334,-83.246,-83.356,-83.334,-83.154,-83.304,-83.286,-83.115,-82.700
8.492,-83.047,-82.956,-83.200,-83.173,-83.307,-83.163,-83.264,-83.289,-83.234,-83.304,-83.438,-83.316,-83.362,-83.096,-83.267,-83.246,-83.063,-82.703
8.591,-83.170,-82.925,-83.139,-83.090,-83.176,-83.072,-83.316,-83.374,-83.295,-83.356,-83.246,-83.307,-83.331,-83.160,-83.249,-83.228,-83.014,-82.767
8.691,-83.115,-82.861,-83.176,-83.215,-83.218,-83.160,-83.389,-83.374,-83.395,-83.353,-83.264,-83.365,-83.347,-83.127,-83.301,-83.240,-83.087,-82.767
8.791,-83.093,-82.883,-83.200,-83.221,-83.328,-83.215,-83.334,-83.270,-83.325,-83.368,-83.328,-83.316,-83.356,-83.154,-83.295,-83.286,-83.145,-82.712
8.891,-83.121,-82.913,-83.112,-83.121,-83.295,-83.136,-83.267,-83.295,-83.237,-83.383,-83.224,-83.322,-83.298,-83.170,-83.282,-83.228,-83.063,-82.767
8.991,-83.139,-82.809,-83.102,-83.221,-83.182,-83.051,-83.316,-83.356,-83.334,-83.353,-83.432,-83.344,-83.319,-83.167,-83.328,-83.200,-83.102,-82.748
9.091,-82.999,-82.855,-83.276,-83.240,-83.292,-83.234,-83.411,-83.234,-83.337,-83.289,-83.313,-83.270,-83.374,-83.142,-83.298,-83.261,-83.109,-82.684
9.191,-83.054,-82.941,-83.221,-83.163,-83.282,-83.163,-83.310,-83.362,-83.340,-83.414,-83.362,-83.398,-83.261,-83.224,-83.206,-83.273,-83.005,-82.758
9.291,-83.130,-82.840,-83.096,-83.167,-83.218,-83.054,-83.273,-83.334,-83.261,-83.307,-83.344,-83.344,-83.304,-83.145,-83.301,-83.215,-83.096,-82.697
9.391,-83.105,-82.819,-83.176,-83.267,-83.212,-83.072,-83.398,-83.282,-83.362,-83.359,-83.322,-83.218,-83.359,-83.078,-83.334,-83.273,-83.151,-82.758
9.491,-83.081,-82.883,-83.298,-83.197,-83.301,-83.237,-83.398,-83.273,-83.264,-83.340,-83.398,-83.337,-83.328,-83.167,-83.231,-83.264,-83.044,-82.755
9.590,-83.136,-82.898,-83.194,-83.054,-83.359,-83.118,-83.252,-83.365,-83.331,-83.371,-83.331,-83.371,-83.286,-83.185,-83.224,-83.270,-83.118,-82.697
9.690,-83.167,-82.864,-83.078,-83.206,-83.212,-83.044,-83.356,-83.310,-83.249,-83.435,-83.307,-83.270,-83.386,-83.102,-83.276,-83.310,-83.102,-82.742
9.790,-83.093,-82.849,-83.127,-83.292,-83.334,-83.145,-83.319,-83.395,-83.334,-83.334,-83.383,-83.307,-83.368,-83.163,-83.228,-83.215,-83.087,-82.715
9.890,-83.093,-82.843,-83.331,-83.179,-83.270,-83.096,-83.380,-83.337,-83.298,-83.380,-83.340,-83.340,-83.313,-83.167,-83.331,-83.298,-83.072,-82.822
9.990,-83.084,-82.956,-83.200,-83.224,-83.255,-83.163,-83.313,-83.350,-83.310,-83.368,-83.316,-83.328,-83.414,-83.087,-83.279,-83.176,-83.173,-82.727
10.090,-83.096,-82.837,-83.139,-83.228,-83.301,-83.066,-83.386,-83.401,-83.270,-83.334,-83.356,-83.353,-83.298,-83.224,-83.286,-83.255,-83.154,-82.727
10.190,-83.063,-82.858,-83.200,-83.163,-83.258,-83.136,-83.289,-83.340,-83.292,-83.307,-83.337,-83.411,-83.310,-83.176,-83.249,-83.298,-83.109,-82.715
10.290,-83.102,-82.834,-83.142,-83.258,-83.258,-83.160,-83.344,-83.362,-83.337,-83.392,-83.322,-83.301,-83.392,-83.151,-83.264,-83.322,-83.060,-82.755
10.390,-83.087,-82.803,-83.258,-83.258,-83.301,-83.066,-83.426,-83.347,-83.289,-83.386,-83.359,-83.325,-83.328,-83.090,-83.392,-83.270,-83.032,-82.755
10.490,-83.051,-82.901,-83.173,-83.194,-83.224,-83.188,-83.301,-83.383,-83.228,-83.350,-83.350,-83.347,-83.371,-83.206,-83.270,-83.243,-83.154,-82.785
10.589,-83.163,-82.840,-83.228,-83.322,-83.316,-83.170,-83.295,-83.356,-83.295,-83.389,-83.307,-83.347,-83.243,-83.273,-83.313,-83.267,-83.099,-82.678
10.689,-83.081,-82.840,-83.231,-83.234,-83.334,-83.115,-83.350,-83.432,-83.276,-83.392,-83.386,-83.417,-83.380,-83.163,-83.218,-83.310,-83.096,-82.751
10.789,-83.176,-82.849,-83.176,-83.270,-83.258,-83.194,-83.334,-83.350,-83.231,-83.353,-83.282,-83.255,-83.398,-83.151,-83.371,-83.258,-83.041,-82.733
10.889,-83.087,-82.855,-83.249,-83.237,-83.295,-83.151,-83.289,-83.295,-83.282,-83.383,-83.289,-83.295,-83.401,-83.096,-83.310,-83.295,-83.081,-82.825
10.989,-83.069,-82.928,-83.228,-83.197,-83.356,-83.063,-83.350,-83.438,-83.282,-83.392,-83.401,-83.386,-83.380,-83.237,-83.377,-83.246,-83.157,-82.672
11.089,-83.087,-82.886,-83.182,-83.289,-83.307,-83.170,-83.411,-83.337,-83.188,-83.395,-83.249,-83.371,-83.313,-83.121,-83.261,-83.350,-83.096,-82.776
