Time (ms),-200 pA,-175 pA,-150 pA,-125 pA,-100 pA,-75 pA,-50 pA,-25 pA,0 pA,25 pA,50 pA,75 pA,100 pA,125 pA,150 pA,175 pA,200 pA,225 pA
9.990,-83.655,-83.841,-83.615,-83.530,-83.258,-83.408,-83.591,-83.694,-82.590,-83.249,-83.200,-83.707,-83.664,-83.420,-83.167,-83.041,-82.962,-83.090
10.090,-83.731,-83.578,-83.569,-83.429,-83.307,-83.530,-83.557,-83.661,-82.593,-83.264,-83.316,-83.615,-83.560,-83.566,-83.200,-82.953,-82.922,-83.176
10.190,-83.591,-83.612,-83.661,-83.426,-83.173,-83.383,-83.548,-83.636,-82.535,-83.344,-83.246,-83.624,-83.664,-83.466,-83.032,-82.938,-83.014,-83.096
10.290,-83.740,-83.646,-83.533,-83.426,-83.224,-83.408,-83.563,-83.688,-82.581,-83.203,-83.249,-83.710,-83.691,-83.505,-83.231,-83.057,-82.980,-83.066
10.390,-83.719,-83.774,-83.649,-83.371,-83.185,-83.502,-83.459,-83.621,-82.684,-83.292,-83.282,-83.661,-83.588,-83.493,-83.163,-82.990,-82.974,-83.188
10.490,-83.691,-83.670,-83.670,-83.542,-83.157,-83.344,-83.597,-83.640,-82.568,-83.301,-83.249,-83.707,-83.640,-83.420,-82.944,-82.941,-83.032,-83.118
10.589,-83.707,-83.673,-83.688,-83.316,-83.255,-83.438,-83.514,-83.646,-82.626,-83.215,-83.270,-83.795,-83.701,-83.417,-82.977,-83.167,-83.102,-83.084
10.689,-83.673,-83.694,-83.710,-83.447,-83.035,-83.292,-83.484,-83.563,-82.590,-83.295,-83.353,-83.630,-83.597,-83.557,-83.002,-83.130,-82.965,-83.148
10.789,-83.734,-83.630,-83.557,-83.389,-83.200,-83.286,-83.566,-83.670,-82.541,-83.331,-83.197,-83.658,-83.615,-83.493,-83.014,-82.956,-83.008,-83.194
10.889,-83.612,-83.664,-83.652,-83.441,-83.160,-83.408,-83.514,-83.588,-82.660,-83.203,-83.206,-83.762,-83.728,-83.377,-83.115,-83.121,-83.118,-83.151
10.989,-83.722,-83.630,-83.612,-83.472,-83.252,-83.261,-83.530,-83.563,-82.645,-83.289,-83.347,-83.627,-83.594,-83.459,-83.173,-83.215,-83.038,-83.090
