x,25pA,-25pA,-50pA,-75pA,-100pA,-125pA,-150pA,-175pA,-200pA
-0.260584,0.113354,0.086087,0.0771196,0.0604348,0.0573913,0.0486957,0.0416934,0.0378595,0.0323629
-0.259124,0.114058,0.086087,0.0772011,0.0605314,0.0573123,0.0491304,0.0419222,0.0380602,0.032552
-0.257664,0.114762,0.086087,0.0772826,0.060628,0.0572332,0.0487291,0.042151,0.0382609,0.032741
-0.254745,0.11617,0.086087,0.0774457,0.0608213,0.0570751,0.0479264,0.0426087,0.0389855,0.0331191
-0.254015,0.116522,0.086087,0.0774864,0.0608696,0.0570356,0.0477258,0.0428133,0.0391667,0.0332136
-0.252555,0.215217,0.086087,0.0775679,0.0613527,0.0569565,0.0473244,0.0432225,0.039529,0.0334026
-0.250365,0.102609,0.086087,0.0776902,0.0620773,0.0568379,0.0467224,0.0438363,0.0400725,0.0336862
-0.249635,0.101087,0.086087,0.077731,0.0623188,0.0567984,0.0465217,0.0440409,0.0402536,0.0337807
-0.248905,0.0995652,0.086087,0.0777717,0.0625604,0.0567589,0.0465904,0.0442455,0.0404348,0.0338752
-0.247445,0.0965217,0.086087,0.0778533,0.0630435,0.0566798,0.0467277,0.0446547,0.0409179,0.0340643
-0.245985,0.0977075,0.086087,0.0779348,0.0630664,0.0566008,0.046865,0.0450639,0.041401,0.0342533
-0.245255,0.0983004,0.086101,0.0779755,0.0630778,0.0565613,0.0469336,0.0452685,0.0416425,0.0343478
-0.244526,0.0988933,0.086115,0.0780163,0.0630892,0.0565217,0.0470023,0.0454731,0.0418841,0.0344862
-0.242336,0.100672,0.0861571,0.0781386,0.0631236,0.0567016,0.0472082,0.046087,0.0426087,0.0349012
-0.240146,0.102451,0.0861992,0.0782609,0.0631579,0.0568816,0.0474142,0.0460183,0.0430978,0.0353162
-0.239416,0.103043,0.0862132,0.0782261,0.0631693,0.0569415,0.0474828,0.0459954,0.0432609,0.0354545
-0.235766,0.10505,0.0862833,0.0780522,0.0632265,0.0572414,0.0478261,0.045881,0.0440761,0.0361462
-0.230657,0.10786,0.0863815,0.0778087,0.0633066,0.0576612,0.0498551,0.0457208,0.0452174,0.0371146
-0.229927,0.108261,0.0863955,0.0777739,0.0633181,0.0577211,0.0501449,0.0456979,0.0452609,0.037253
-0.229197,0.108451,0.0864095,0.0777391,0.0633295,0.0577811,0.0504348,0.0456751,0.0453043,0.0373913
-0.228467,0.108641,0.0864236,0.0777043,0.063341,0.0578411,0.0507246,0.0456522,0.0453478,0.0374297
-0.227007,0.109022,0.0864516,0.0776348,0.0633638,0.057961,0.0513043,0.0457278,0.0454348,0.0375064
-0.223358,0.109973,0.0865217,0.0774609,0.0634211,0.0582609,0.0501449,0.0459168,0.0456522,0.0376982
-0.221898,0.110353,0.0865498,0.0773913,0.0634439,0.0583399,0.0496812,0.0459924,0.0457391,0.0377749
-0.219708,0.110924,0.0865919,0.0774582,0.0634783,0.0584585,0.0489855,0.0461059,0.0458696,0.03789
-0.218248,0.111304,0.0866199,0.0775028,0.0642391,0.0585375,0.0485217,0.0461815,0.0459565,0.0379668
-0.216058,0.111848,0.086662,0.0775697,0.0653804,0.0586561,0.0478261,0.0462949,0.046087,0.0380818
-0.211679,0.112935,0.0867461,0.0777035,0.067663,0.0588933,0.0479348,0.0465217,0.0464596,0.038312
-0.209489,0.113478,0.0867882,0.0777703,0.0688043,0.0590119,0.0479891,0.0468323,0.046646,0.0384271
-0.208029,0.11419,0.0868163,0.0778149,0.0695652,0.0590909,0.0480254,0.0470393,0.0467702,0.0385038
-0.20438,0.115968,0.0868864,0.0779264,0.0691925,0.0592885,0.0481159,0.0475569,0.0470807,0.0386957
-0.20146,0.117391,0.0869425,0.0780156,0.0688944,0.0594466,0.0481884,0.047971,0.0473292,0.039113
