Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
1199.0999755859,-48.2177734375,-47.3022460938,-36.62109375,-42.724609375,-50.048828125
1199.1999511719,-47.607421875,-47.607421875,-37.841796875,-41.50390625,-48.828125
1199.3000488281,-47.607421875,-48.2177734375,-37.2314453125,-41.8090820313,-50.6591796875
1199.4000244141,-49.1333007813,-47.3022460938,-36.9262695313,-42.1142578125,-49.1333007813
1199.5,-48.828125,-47.9125976563,-36.3159179688,-40.8935546875,-50.048828125
1199.5999755859,-48.828125,-47.607421875,-36.62109375,-41.8090820313,-48.5229492188
1199.6999511719,-48.2177734375,-46.9970703125,-36.3159179688,-41.1987304688,-50.048828125
1199.8000488281,-48.2177734375,-47.9125976563,-36.3159179688,-41.8090820313,-48.828125
1199.9000244141,-47.9125976563,-47.3022460938,-35.7055664063,-41.8090820313,-50.048828125
1200,-47.607421875,-48.828125,-35.0952148438,-41.8090820313,-48.2177734375
1200.0999755859,-49.1333007813,-46.6918945313,-35.7055664063,-41.50390625,-48.5229492188
1200.1999511719,-49.1333007813,-48.5229492188,-34.1796875,-41.1987304688,-48.828125
1200.3000488281,-49.4384765625,-48.5229492188,-33.8745117188,-39.9780273438,-48.2177734375
1200.4000244141,-47.607421875,-49.4384765625,-26.5502929688,-40.8935546875,-49.7436523438
1200.5,-47.9125976563,-47.607421875,-9.4604492188,-41.8090820313,-47.9125976563
1200.5999755859,-48.828125,-47.607421875,18.9208984375,-40.283203125,-48.828125
1200.6999511719,-49.1333007813,-47.9125976563,32.0434570313,-41.1987304688,-49.1333007813
1200.8000488281,-49.4384765625,-46.9970703125,25.634765625,-40.8935546875,-48.5229492188
1200.9000244141,-47.9125976563,-47.9125976563,9.765625,-41.8090820313,-47.607421875
1201,-48.2177734375,-47.9125976563,-8.544921875,-40.8935546875,-48.2177734375
1201.0999755859,-48.2177734375,-48.828125,-25.0244140625,-41.50390625,-49.1333007813
1201.1999511719,-49.1333007813,-48.2177734375,-36.3159179688,-40.8935546875,-48.2177734375
1201.3000488281,-49.4384765625,-47.9125976563,-43.6401367188,-41.8090820313,-47.9125976563
1201.4000244141,-47.9125976563,-47.607421875,-46.9970703125,-41.8090820313,-48.5229492188
1201.5,-48.5229492188,-46.9970703125,-50.9643554688,-40.283203125,-47.9125976563
1201.5999755859,-48.2177734375,-48.5229492188,-51.5747070313,-41.1987304688,-47.9125976563
1201.6999511719,-48.5229492188,-48.2177734375,-51.8798828125,-39.6728515625,-48.828125
1201.8000488281,-47.3022460938,-48.2177734375,-51.5747070313,-40.283203125,-48.2177734375
1201.9000244141,-47.607421875,-47.607421875,-50.6591796875,-41.8090820313,-48.2177734375
1202,-49.4384765625,-47.3022460938,-51.8798828125,-41.8090820313,-48.828125
1202.0999755859,-48.828125,-48.828125,-52.7954101563,-42.1142578125,-47.607421875
1202.1999511719,-48.2177734375,-47.607421875,-51.8798828125,-41.8090820313,-49.1333007813
1202.3000488281,-47.9125976563,-47.607421875,-50.9643554688,-41.50390625,-46.9970703125
1202.4000244141,-48.828125,-47.3022460938,-51.26953125,-40.5883789063,-47.607421875
1202.5,-47.3022460938,-46.6918945313,-51.8798828125,-40.8935546875,-48.5229492188
1202.5999755859,-47.9125976563,-49.1333007813,-51.5747070313,-41.50390625,-48.5229492188
1202.6999511719,-49.1333007813,-47.607421875,-50.048828125,-42.1142578125,-49.4384765625
1202.8000488281,-48.5229492188,-47.3022460938,-50.048828125,-42.4194335938,-48.828125
1202.9000244141,-48.828125,-47.607421875,-50.6591796875,-40.8935546875,-49.4384765625
1203,-49.4384765625,-48.2177734375,-50.048828125,-41.1987304688,-48.2177734375
1203.0999755859,-47.9125976563,-46.6918945313,-50.3540039063,-40.5883789063,-47.9125976563
1203.1999511719,-46.9970703125,-46.6918945313,-50.3540039063,-41.1987304688,-48.5229492188
1203.3000488281,-48.828125,-49.1333007813,-49.7436523438,-41.8090820313,-48.2177734375
1203.4000244141,-48.5229492188,-46.6918945313,-50.9643554688,-41.1987304688,-49.1333007813
1203.5,-48.5229492188,-46.9970703125,-49.1333007813,-40.8935546875,-49.4384765625
1203.5999755859,-48.2177734375,-47.3022460938,-49.7436523438,-40.283203125,-48.828125
1203.6999511719,-47.9125976563,-48.2177734375,-49.1333007813,-41.1987304688,-48.5229492188
1203.8000488281,-49.7436523438,-46.38671875,-49.4384765625,-42.724609375,-48.5229492188
1203.9000244141,-46.9970703125,-46.9970703125,-49.7436523438,-40.283203125,-48.828125
1204,-48.2177734375,-48.828125,-49.4384765625,-40.283203125,-49.4384765625
1204.0999755859,-48.828125,-46.9970703125,-50.6591796875,-41.50390625,-49.7436523438
1204.1999511719,-47.607421875,-48.2177734375,-49.1333007813,-42.1142578125,-48.5229492188
1204.3000488281,-49.4384765625,-47.607421875,-48.828125,-40.283203125,-48.2177734375
1204.4000244141,-47.3022460938,-46.9970703125,-50.048828125,-40.8935546875,-47.9125976563
1204.5,-48.5229492188,-47.9125976563,-49.1333007813,-41.8090820313,-49.1333007813
1204.5999755859,-46.6918945313,-46.9970703125,-49.7436523438,-40.8935546875,-50.048828125
1204.6999511719,-48.5229492188,-47.607421875,-49.1333007813,-41.1987304688,-48.5229492188
1204.8000488281,-48.2177734375,-48.2177734375,-48.828125,-40.283203125,-47.9125976563
1204.9000244141,-47.9125976563,-46.9970703125,-48.828125,-41.50390625,-49.4384765625
1205,-48.2177734375,-47.9125976563,-50.3540039063,-40.5883789063,-49.7436523438
